country_name,lat_min,lat_max,lon_min,lon_max
VA,41.9029,41.9076,12.4534,12.4544
MC,43.7247,43.7514,7.4090,7.4399
NR,-0.5453,-0.5022,166.9095,166.9583
TV,-9.4167,-5.6431,179.0519,179.8630
SM,43.8934,43.9924,12.4037,12.5169
LI,47.0485,47.2700,9.4717,9.6353
MH,5.5874,14.9576,160.8444,172.2289
KN,17.0958,17.4204,-62.8738,-62.5500
MV,-0.6900,7.1083,72.6816,73.7533
MT,35.7990,36.0850,14.1832,14.5672
GD,11.9990,12.5330,-61.8021,-61.5495
VC,12.5314,13.3776,-61.4561,-61.1130
BB,13.0500,13.3350,-59.6750,-59.4200
AG,16.9960,17.7291,-61.9062,-61.6720
SC,-10.2810,-4.3151,46.2048,56.2978
PW,2.7514,8.4692,131.0096,134.7180
AD,42.4285,42.6560,1.4130,1.7870
LC,13.7167,14.1167,-61.0800,-60.8667
FM,0.8656,10.0740,137.2234,163.0419
SG,1.2140,1.4730,103.5940,104.0390
TO,-22.3400,-15.5620,-176.2073,-173.9041
DM,15.1973,15.6350,-61.4801,-61.2360
BH,25.5490,26.3870,50.3230,50.9235
KI,-4.6747,4.7231,-174.5426,176.8501
ST,0.0201,1.7403,6.4624,7.4820
KM,-12.3755,-11.3611,43.2139,44.5294
MU,-20.5254,-10.2760,56.5123,63.5043
LU,49.4478,50.1828,5.7370,6.5309
WS,-14.0473,-13.4425,-172.8026,-171.4246
CV,14.8032,17.2080,-25.3588,-22.6693
TT,10.0361,11.3510,-61.9253,-60.9391
BN,4.0025,5.0583,114.0715,115.3624
PS,31.2200,32.5440,34.2060,35.5730
CY,34.6336,35.6861,32.2564,34.6041
LB,33.0627,34.6926,35.0990,36.6392
JM,17.7041,18.5254,-78.3667,-76.1781
GM,13.0645,13.8254,-16.8415,-13.7973
QA,24.4726,26.1570,50.7567,51.6810
VU,-20.2567,-13.0732,166.5403,170.2433
ME,41.8488,43.5564,18.4297,20.3398
BS,20.9280,26.9190,-79.5106,-72.7410
TL,-9.5010,-8.0895,124.0416,127.3463
SZ,-27.3187,-25.7197,30.7906,32.1406
KW,28.5257,30.0952,46.5527,48.4320
FJ,-20.6750,-12.4790,177.0671,179.9872
SI,45.4523,46.8760,13.3753,16.6095
SV,13.1485,14.4515,-90.1286,-87.6887
IL,29.4932,33.3318,34.2676,35.8961
BZ,15.8892,18.4960,-89.2278,-87.2630
DJ,10.9129,12.7064,41.7555,43.4259
MK,40.8518,42.3740,20.4623,23.0404
RW,-2.8391,-1.0535,28.8617,30.8955
HT,18.0221,19.9315,-74.4805,-71.6284
BI,-4.4650,-2.3097,28.9930,30.8498
GQ,-1.4730,3.7500,5.4170,11.3308
AL,39.6447,42.6612,19.3045,21.0576
SB,-12.7046,-6.5998,155.4883,169.6186
AM,38.8390,41.3018,43.4324,46.6333
LS,-30.6831,-28.5708,27.0331,29.4557
BE,49.4967,51.5051,2.5416,6.4030
MD,45.4674,48.4918,26.6181,30.1446
GW,10.9255,12.6863,-16.7176,-13.6368
BT,26.7078,28.3228,88.7282,92.1055
CH,45.8335,47.8059,5.9668,10.4905
NL,50.7504,53.5169,3.3589,7.2284
DK,54.5613,57.7484,8.0838,12.6943
EE,57.5093,59.6767,21.8294,28.2105
DO,17.5403,19.9787,-71.9451,-68.3212
SK,47.7421,49.6032,16.8466,22.5730
CR,8.0400,11.2191,-86.1130,-82.5541
BA,42.5597,45.2767,15.7287,19.6212
HR,42.3740,46.5416,13.3645,19.4276
TG,6.1017,11.1380,-0.1508,1.8080
LV,55.6747,58.0842,20.9659,28.2215
LT,53.8944,56.4503,20.9272,26.8440
LK,5.9271,9.8442,79.6196,81.8818
GE,41.0368,43.5864,39.9741,46.6948
IE,51.4457,55.3842,-10.4740,-5.3455
SL,6.7859,9.9962,-13.3000,-10.2815
PA,7.2059,9.6116,-83.0519,-77.2025
CZ,48.5587,51.0557,12.0908,18.8592
AE,22.6333,26.0841,51.5903,56.3813
AT,46.3723,49.0211,9.5308,17.1601
AZ,38.4009,41.9056,44.7939,50.3704
RS,42.2322,46.1905,18.8364,23.0052
JO,29.1850,33.3758,34.9606,39.3019
PT,36.9613,42.1543,-9.5006,-6.1890
HU,45.7433,48.5851,16.1136,22.8978
KR,33.1900,38.6124,125.8870,129.4683
IS,63.3966,66.5365,-24.5449,-13.4950
GT,13.7350,17.8195,-92.2464,-88.2250
CU,19.8463,23.2712,-85.1677,-74.1324
BG,41.2352,44.2304,22.3570,28.6122
LR,4.1984,8.5514,-11.4921,-7.3655
HN,12.9842,16.5095,-89.3534,-83.1318
BJ,6.2254,12.4092,0.7746,3.8554
ER,12.3593,18.0040,36.4334,43.1200
MW,-17.1290,-9.3673,32.6726,35.9188
KP,37.6744,43.0086,124.3151,130.6743
NI,10.7076,15.0338,-87.6923,-82.7485
GR,34.8021,41.7489,19.3746,29.6517
TJ,36.6740,41.0391,67.3422,74.9796
NP,26.3470,30.4227,80.0580,88.2015
BD,20.5630,26.6383,88.0287,92.6803
TN,30.2404,37.5438,7.5248,11.5643
SR,1.8310,6.0140,-58.0869,-53.9783
UY,-34.9733,-30.0827,-58.4942,-53.0917
KH,10.4865,14.7059,102.3332,107.6277
SY,32.3108,37.3189,35.6130,42.3746
SN,12.3068,16.6917,-17.5283,-11.3451
KG,39.1892,43.2381,69.2502,80.2831
BY,51.2570,56.1561,23.1783,32.7934
GY,1.1846,8.5579,-61.3857,-56.4800
LA,13.9167,22.5000,100.0833,107.6667
RO,43.6187,48.2656,20.2616,29.7018
GH,4.5414,11.1749,-3.2554,1.1994
UG,-1.4823,4.2415,29.5734,35.0415
UK,49.9500,60.8500,-8.6200,1.7500
GN,7.1936,12.6765,-15.0820,-7.6400
GA,-3.9788,2.3182,8.6956,14.5023
NZ,-47.2860,-34.3851,166.4268,178.5171
BF,9.4107,15.0840,-5.5225,2.4075
EC,-5.0154,1.4386,-81.0771,-75.2563
PH,4.6133,21.1207,116.9300,126.5975
IT,35.2886,47.0910,6.6191,18.5135
OM,16.6473,26.3855,52.0000,59.8432
PL,49.0020,54.8357,14.1200,24.1509
CI,4.3500,10.7400,-8.6000,-2.4949
MY,0.8538,7.3686,99.6410,119.2686
VN,8.1797,23.3887,102.1400,109.4630
FI,59.4542,70.0923,19.0912,31.5809
CG,-5.0150,3.7034,11.0931,18.6498
DE,47.2711,55.0584,5.8663,15.0419
JP,24.3963,45.5515,122.9346,153.9866
NO,57.8097,71.1924,4.8475,31.1869
ZW,-22.4241,-15.6095,25.2373,33.0563
PY,-27.5865,-19.2869,-62.6434,-54.2586
IQ,29.0612,37.3852,38.7923,48.9938
MA,27.6621,35.9190,-13.1672,-0.9986
UZ,37.1844,45.5854,55.9757,73.1493
SE,55.3617,69.0375,11.1080,24.1776
PG,-11.6558,-1.3453,140.8428,156.0192
CM,1.6545,13.0782,8.4992,16.2079
TM,35.1413,42.7950,52.4441,66.6840
ES,27.4335,43.7914,-18.1608,4.3173
TH,5.6129,20.4642,97.3518,105.6397
YE,12.1111,19.0006,42.5707,54.5302
KE,-4.6734,5.5060,33.9098,41.8996
BW,-26.9079,-17.7791,19.9989,29.3683
MG,-25.6014,-11.9508,43.2202,50.4844
UA,44.1846,52.3350,22.1326,40.2295
CF,2.2200,11.0080,14.4150,27.4576
SO,-1.6749,11.9792,40.9810,51.4154
FR,41.3648,51.1242,-5.1380,9.6620
SS,3.5090,12.2222,23.4975,35.9362
AF,29.3772,38.4894,60.4817,74.8895
MM,9.7900,28.5477,92.1890,101.1706
